doctor_id,first_name,last_name,specialization,phone_number,email,consultation_fee,years_of_experience
1,Heather,White,Cardiologist,480-277-0455,melissahowell@gmail.com,296.29,24
2,Ashley,Hines,Dermatologist,001-525-714-0921,toddadams@hotmail.com,294.61,7
3,Noah,Jacobson,Neurologist,001-620-571-8380x00582,ocameron@gmail.com,475.41,14
4,Joshua,Smith,Pediatrician,001-513-998-4026x57411,umeyer@gmail.com,440.07,28
5,Monica,Gonzalez,General Surgeon,(837)276-9029,rachel86@brown.biz,437.1,5
6,Jeffery,Smith,Orthopedic,(036)257-5572x9352,tony66@carter-green.org,427.32,23
7,David,Garcia,Psychiatrist,+1-682-330-1656,sharonmartinez@robinson-smith.net,149.69,24
8,Penny,Scott,Oncologist,828.962.4052x34568,ubyrd@anderson.net,337.15,19
9,Shawn,Thompson,Radiologist,+1-604-547-3349x7868,kellie45@hotmail.com,182.63,14
10,Cynthia,Adams,Endocrinologist,+1-368-136-9170x7060,gambleanita@hotmail.com,178.76,26
