nurse_id,first_name,last_name,phone_number,email,shift
1,Julie,Hall,929-308-0984x4287,sheri85@hotmail.com,Afternoon
2,Sandra,Smith,(514)012-4974x0743,jessedavis@fleming.com,Night
3,Susan,Martinez,146-143-4282,alanmora@gmail.com,Morning
4,Christopher,Wade,001-039-207-5344x896,kellie80@thompson-davis.com,Morning
5,Frank,Daugherty,+1-602-287-2459x2074,richard22@hotmail.com,Afternoon
6,Arthur,Gilbert,8763956038,zunigamary@hotmail.com,Night
7,Duane,Rodriguez,133-685-8847x02488,devonrichards@anderson.com,Night
8,Alexandra,Blevins,001-883-246-8245x5358,sandraallen@buck.org,Afternoon
9,Michelle,Norton,(815)714-8485,jennacastillo@yahoo.com,Afternoon
10,Michael,Davila,+1-194-025-5368x8351,johntrujillo@smith.info,Morning
11,John,Maddox,458-844-9954x939,pbaker@hotmail.com,Night
12,Patrick,Miller,(570)043-6655x4679,robin45@smith.com,Night
13,Sara,Torres,+1-787-120-1570x80855,markwilliams@ramirez.net,Night
14,Miguel,Porter,001-101-098-2284x36667,sarah61@gmail.com,Afternoon
15,Jeffrey,Foley,916-384-2494x365,pdaniels@hotmail.com,Morning
